study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,static,800,7,2500,0,0.324155,0.1946,0.1194,0.1342,99022d33efc11489,1,5.06
strong,omp,dynamic,800,7,2500,0,0.304197,0.1960,0.0321,0.1480,99022d33efc11489,1,5.06
strong,omp,static,800,8,2500,0,0.312267,0.1760,0.1027,0.1203,99022d33efc11489,1,5.06
strong,omp,dynamic,800,8,2500,0,0.325642,0.2040,0.0818,0.1535,99022d33efc11489,1,5.06
strong,omp,static,800,9,2500,0,0.318286,0.1736,0.0913,0.1103,99022d33efc11489,1,5.06
strong,omp,dynamic,800,9,2500,0,0.306047,0.1808,0.0720,0.1370,99022d33efc11489,1,5.06
strong,omp,static,800,10,2500,0,0.315787,0.1912,0.0843,0.1078,99022d33efc11489,1,5.06
strong,omp,dynamic,800,10,2500,0,0.309505,0.1787,0.0685,0.1303,99022d33efc11489,1,5.06
strong,seq,seq,1600,1,620,0,0.832530,,,,19a70bf14c5c667f,1,5.06
strong,omp,static,1600,1,620,0,0.832682,0.8326,0.8326,0.8326,19a70bf14c5c667f,1,5.06
strong,omp,dynamic,1600,1,620,0,0.839984,0.8399,0.8399,0.8399,19a70bf14c5c667f,1,4.98
strong,omp,static,1600,2,620,0,0.434685,0.4319,0.4212,0.4265,19a70bf14c5c667f,1,4.98
strong,omp,dynamic,1600,2,620,0,0.439817,0.4316,0.4274,0.4295,19a70bf14c5c667f,1,4.98
strong,omp,static,1600,3,620,0,0.308716,0.2954,0.2939,0.2947,19a70bf14c5c667f,1,4.98
strong,omp,dynamic,1600,3,620,0,0.312745,0.3010,0.2929,0.2975,19a70bf14c5c667f,1,4.98
strong,omp,static,1600,4,620,0,0.249833,0.2311,0.2172,0.2264,19a70bf14c5c667f,1,4.98
strong,omp,dynamic,1600,4,620,0,0.243359,0.2295,0.2270,0.2284,19a70bf14c5c667f,1,4.98
strong,omp,static,1600,5,620,0,0.291212,0.2740,0.1779,0.2002,19a70bf14c5c667f,1,4.98
strong,omp,dynamic,1600,5,620,0,0.241444,0.2235,0.1790,0.2057,19a70bf14c5c667f,1,4.98
strong,omp,static,1600,6,620,0,0.271269,0.2279,0.1467,0.1748,19a70bf14c5c667f,1,4.98
strong,omp,dynamic,1600,6,620,0,0.216862,0.1899,0.1653,0.1836,19a70bf14c5c667f,1,4.98
