study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,dynamic,800,5,2500,0,0.652822,0.6192,0.6169,0.6180,99022d33efc11489,2,3.04
strong,omp,static,800,6,2500,0,0.546406,0.5405,0.4973,0.5109,99022d33efc11489,2,3.04
strong,omp,dynamic,800,6,2500,0,0.545822,0.5209,0.5171,0.5194,99022d33efc11489,2,3.04
strong,omp,static,800,7,2500,0,0.464344,0.4529,0.4211,0.4384,99022d33efc11489,2,3.04
strong,omp,dynamic,800,7,2500,0,0.498374,0.4565,0.4480,0.4502,99022d33efc11489,2,3.04
strong,omp,static,800,8,2500,0,0.416183,0.3963,0.3639,0.3816,99022d33efc11489,2,3.35
strong,omp,dynamic,800,8,2500,0,0.459373,0.3948,0.3917,0.3929,99022d33efc11489,2,3.35
strong,seq,seq,1600,1,625,0,4.592340,,,,ae1209a2bebdad4f,2,3.35
strong,omp,static,1600,1,625,0,4.650174,4.6493,4.6493,4.6493,ae1209a2bebdad4f,2,3.17
strong,omp,dynamic,1600,1,625,0,4.604704,4.6040,4.6040,4.6040,ae1209a2bebdad4f,2,2.99
strong,omp,static,1600,2,625,0,2.370010,2.3609,2.2475,2.3042,ae1209a2bebdad4f,2,2.83
strong,omp,dynamic,1600,2,625,0,2.358840,2.3034,2.2974,2.3004,ae1209a2bebdad4f,2,2.83
strong,omp,static,1600,3,625,0,1.725010,1.6896,1.4293,1.5357,ae1209a2bebdad4f,2,2.77
strong,omp,dynamic,1600,3,625,0,1.802568,1.5643,1.5183,1.5341,ae1209a2bebdad4f,2,2.77
strong,omp,static,1600,4,625,0,1.379050,1.3763,0.9613,1.1414,ae1209a2bebdad4f,2,2.77
strong,omp,dynamic,1600,4,625,0,1.346708,1.1538,1.1434,1.1478,ae1209a2bebdad4f,2,2.86
strong,omp,static,1600,5,625,0,1.165938,1.1476,0.7874,0.9076,ae1209a2bebdad4f,2,2.86
strong,omp,dynamic,1600,5,625,0,1.140410,0.9340,0.9109,0.9190,ae1209a2bebdad4f,2,2.86
strong,omp,static,1600,6,625,0,0.966823,0.9494,0.6673,0.7577,ae1209a2bebdad4f,2,2.86
strong,omp,dynamic,1600,6,625,0,1.006571,0.7735,0.7616,0.7665,ae1209a2bebdad4f,2,2.86
strong,omp,static,1600,7,625,0,0.800724,0.7707,0.5553,0.6497,ae1209a2bebdad4f,2,3.12
strong,omp,dynamic,1600,7,625,0,0.871583,0.6608,0.6470,0.6558,ae1209a2bebdad4f,2,3.12
strong,omp,static,1600,8,625,0,0.784840,0.7585,0.4547,0.5690,ae1209a2bebdad4f,2,3.12
strong,omp,dynamic,1600,8,625,0,0.807379,0.5869,0.5683,0.5741,ae1209a2bebdad4f,2,3.12
strong,seq,seq,3200,1,156,0,3.878587,,,,9e0bf857c97eb34,2,3.12
strong,omp,static,3200,1,156,0,3.897417,3.8971,3.8971,3.8971,9e0bf857c97eb34,2,2.95
strong,omp,dynamic,3200,1,156,0,3.894626,3.8944,3.8944,3.8944,9e0bf857c97eb34,2,2.79
strong,omp,static,3200,2,156,0,2.046834,1.9977,1.9895,1.9936,9e0bf857c97eb34,2,2.65
strong,omp,dynamic,3200,2,156,0,2.010552,1.9647,1.9598,1.9622,9e0bf857c97eb34,2,2.65
strong,omp,static,3200,3,156,0,1.347713,1.3247,1.2777,1.3073,9e0bf857c97eb34,2,2.59
strong,omp,dynamic,3200,3,156,0,1.375779,1.3084,1.3000,1.3030,9e0bf857c97eb34,2,2.59
